"","X","age_group","lower.Q1","Incidence","upper.Q3","Gender","Year","Calibration"
"116",8,"25-29",0,0.00104533167484023,0,"women","2017","PhyloTree"
"117",9,"30-34",0,0.0004496187634058,0,"women","2017","PhyloTree"
"118",10,"35-39",0,0.000290856596520321,0,"women","2017","PhyloTree"
"119",11,"40-44",0,9.00241508913904e-05,0,"women","2017","PhyloTree"
"120",12,"45-49",0,8.42659843621184e-05,0,"women","2017","PhyloTree"
"121",1,"15-24",0.00207187083477899,0.00424174490599916,0.00639996979828925,"men","2013","Combined"
"122",2,"25-29",0.00452691136218861,0.00831741517713868,0.011194025974207,"men","2013","Combined"
"123",3,"30-34",0,0.0109101145800562,0.0160518673064271,"men","2013","Combined"
"124",4,"35-39",0.00375877298377208,0.00962445248611333,0.0139287600928573,"men","2013","Combined"
"125",5,"40-44",0.00279334631587299,0.005631100486961,0.00839516555468111,"men","2013","Combined"
"126",6,"45-49",0,0.00221094314977792,0.00301349447320088,"men","2013","Combined"
"127",7,"15-24",0.00938719459444741,0.014117650586176,0.0180219137556463,"women","2013","Combined"
"128",8,"25-29",0,0.00292224703453929,0.00570558504188372,"women","2013","Combined"
"129",9,"30-34",0,0.0010013986657926,0,"women","2013","Combined"
"130",10,"35-39",0,0.000424688142375308,0,"women","2013","Combined"
"131",11,"40-44",0,0.000318327945640629,0,"women","2013","Combined"
"132",12,"45-49",0,0.000156762393825299,0,"women","2013","Combined"
"133",1,"15-24",0.00194959706406753,0.00397911248864253,0.00642982146339883,"men","2014","Combined"
"134",2,"25-29",0,0.00740174660728383,0.010295067044319,"men","2014","Combined"
"135",3,"30-34",0,0.00975716989721726,0.0138140424255659,"men","2014","Combined"
"136",4,"35-39",0.00421086016680256,0.00805724339295928,0.0127519856549076,"men","2014","Combined"
"137",5,"40-44",0,0.00454617156736773,0.00616439843961665,"men","2014","Combined"
"138",6,"45-49",0,0.00159941215644555,0.00293116052626617,"men","2014","Combined"
"139",7,"15-24",0.00743140954222703,0.0118678471820081,0.015530743144733,"women","2014","Combined"
"140",8,"25-29",0,0.00234918028735307,0.00522100627795061,"women","2014","Combined"
"141",9,"30-34",0,0.000660086254156994,0,"women","2014","Combined"
"142",10,"35-39",0,0.00024077167440146,0,"women","2014","Combined"
"143",11,"40-44",0,0.000204306209148069,0,"women","2014","Combined"
"144",12,"45-49",0,0.000101076627681954,0,"women","2014","Combined"
"145",1,"15-24",0.00194902728627588,0.00371641773109426,0.00507786570433567,"men","2015","Combined"
"146",2,"25-29",0,0.00669829637925588,0.00969720259842939,"men","2015","Combined"
"147",3,"30-34",0,0.00952371267290841,0.0132476455761982,"men","2015","Combined"
"148",4,"35-39",0,0.00733549473340115,0.0113246763817975,"men","2015","Combined"
"149",5,"40-44",0,0.00414838977671202,0.00600564892089346,"men","2015","Combined"
"150",6,"45-49",0,0.0014524846559631,0.00287749275614873,"men","2015","Combined"
"151",7,"15-24",0.00643332516341039,0.0106160540059287,0.0147009469016839,"women","2015","Combined"
"152",8,"25-29",0,0.00170041848905294,0.00446287340382621,"women","2015","Combined"
"153",9,"30-34",0,0.000553097558958046,0,"women","2015","Combined"
"154",10,"35-39",0,0.000131787516224008,0,"women","2015","Combined"
"155",11,"40-44",0,0.00012196045784757,0,"women","2015","Combined"
"156",12,"45-49",0,7.18788099743305e-05,0,"women","2015","Combined"
"157",1,"15-24",0,0.003236948842106,0.00485669949215242,"men","2016","Combined"
"158",2,"25-29",0,0.00636077130970937,0.00944376833941083,"men","2016","Combined"
"159",3,"30-34",0,0.00857284345972948,0.0121690568611626,"men","2016","Combined"
"160",4,"35-39",0,0.00741241178387559,0.0125421067763032,"men","2016","Combined"
"161",5,"40-44",0,0.00415060523082175,0.00603856062061522,"men","2016","Combined"
"162",6,"45-49",0,0.00144948903844379,0.00289899188048245,"men","2016","Combined"
"163",7,"15-24",0.00545913559680136,0.0102343772157434,0.0137304394028033,"women","2016","Combined"
"164",8,"25-29",0,0.00157640143121832,0,"women","2016","Combined"
"165",9,"30-34",0,0.000505346005578795,0,"women","2016","Combined"
"166",10,"35-39",0,0.00019353162691645,0,"women","2016","Combined"
"167",11,"40-44",0,7.66355424021271e-05,0,"women","2016","Combined"
"168",12,"45-49",0,5.82403778472939e-05,0,"women","2016","Combined"
"169",1,"15-24",0,0.0027822472414215,0.00465790432999309,"men","2017","Combined"
"170",2,"25-29",0,0.00528896884362266,0.00866473089679833,"men","2017","Combined"
"171",3,"30-34",0,0.00681681404195196,0.0105369862810846,"men","2017","Combined"
"172",4,"35-39",0,0.00639458874807742,0.0101509687721634,"men","2017","Combined"
"173",5,"40-44",0,0.00319426366889084,0.00564182346999169,"men","2017","Combined"
