"","X","age_group","lower.Q1","Incidence","upper.Q3","Gender","Year","Calibration"
"196",4,"35-39",0,0.00605924366407791,0.0089741881927142,"men","2014","Benchmark"
"197",5,"40-44",0,0.00369398135602167,0.00558544178413682,"men","2014","Benchmark"
"198",6,"45-49",0,0.00169942628745426,0.0028168701823,"men","2014","Benchmark"
"199",7,"15-24",0.0051021878150359,0.00999867647859669,0.0130941146035215,"women","2014","Benchmark"
"200",8,"25-29",0,0.00274671958297302,0.00515091755074411,"women","2014","Benchmark"
"201",9,"30-34",0,0.00123367049023111,0,"women","2014","Benchmark"
"202",10,"35-39",0,0.000653770113670252,0,"women","2014","Benchmark"
"203",11,"40-44",0,0.000375798853009648,0,"women","2014","Benchmark"
"204",12,"45-49",0,0.000242110892754078,0,"women","2014","Benchmark"
"205",1,"15-24",0,0.0024827832146049,0.00431601690896256,"men","2015","Benchmark"
"206",2,"25-29",0,0.00486248652162112,0.00853565332680835,"men","2015","Benchmark"
"207",3,"30-34",0,0.00730042813903058,0.0115019948982195,"men","2015","Benchmark"
"208",4,"35-39",0,0.00592267193910755,0.0102556081951639,"men","2015","Benchmark"
"209",5,"40-44",0,0.00349666451054921,0.00551955700833467,"men","2015","Benchmark"
"210",6,"45-49",0,0.00129758951461841,0.00271946095068264,"men","2015","Benchmark"
"211",7,"15-24",0.00472751863351364,0.00888082169765131,0.0125005603964879,"women","2015","Benchmark"
"212",8,"25-29",0,0.00183501381943368,0.00443326815968674,"women","2015","Benchmark"
"213",9,"30-34",0,0.000919741095897866,0,"women","2015","Benchmark"
"214",10,"35-39",0,0.000345756224264218,0,"women","2015","Benchmark"
"215",11,"40-44",0,0.000251950714679541,0,"women","2015","Benchmark"
"216",12,"45-49",0,0.000159696031726929,0,"women","2015","Benchmark"
"217",1,"15-24",0,0.00231270116245963,0.00386958704281061,"men","2016","Benchmark"
"218",2,"25-29",0,0.00482724214895526,0.00842716076495329,"men","2016","Benchmark"
"219",3,"30-34",0,0.00632984018905034,0.0104676605626468,"men","2016","Benchmark"
"220",4,"35-39",0,0.00531781977597603,0.00752894898396677,"men","2016","Benchmark"
"221",5,"40-44",0,0.00328572439334727,0.00544276106287567,"men","2016","Benchmark"
"222",6,"45-49",0,0.00137846788161871,0.00274665662447924,"men","2016","Benchmark"
"223",7,"15-24",0.00446143490434654,0.00801881785580782,0.0110943234108062,"women","2016","Benchmark"
"224",8,"25-29",0,0.00179080688782721,0,"women","2016","Benchmark"
"225",9,"30-34",0,0.000861936690576446,0,"women","2016","Benchmark"
"226",10,"35-39",0,0.000378776714955772,0,"women","2016","Benchmark"
"227",11,"40-44",0,0.000194812335314555,0,"women","2016","Benchmark"
"228",12,"45-49",0,0.000103467191301869,0,"women","2016","Benchmark"
"229",1,"15-24",0,0.00195641290635808,0.00260632291525037,"men","2017","Benchmark"
"230",2,"25-29",0,0.00431976347978525,0.00506195867407636,"men","2017","Benchmark"
"231",3,"30-34",0,0.00522964583449905,0.00895326499935681,"men","2017","Benchmark"
"232",4,"35-39",0,0.00498386251261993,0.0090651926058084,"men","2017","Benchmark"
"233",5,"40-44",0,0.00256823769274237,0.00310372523486447,"men","2017","Benchmark"
"234",6,"45-49",0,0.00105714559998469,0.00264820966914624,"men","2017","Benchmark"
"235",7,"15-24",0.00249609238233139,0.00611202314559844,0.00899145714652799,"women","2017","Benchmark"
"236",8,"25-29",0,0.00125865666810458,0,"women","2017","Benchmark"
"237",9,"30-34",0,0.000448179096310614,0,"women","2017","Benchmark"
"238",10,"35-39",0,0.000261535557705,0,"women","2017","Benchmark"
"239",11,"40-44",0,0.00010522990991869,0,"women","2017","Benchmark"
"240",12,"45-49",0,7.5744223849828e-05,0,"women","2017","Benchmark"
